hip,proper,ra,dec,mag,dist,spect,ci,con,bayer
25,,0.0053,-44.290561,6.28,81.367,G3IV,0.763,Phe,
34,,0.006638,26.918108,6.43,74.6269,F7.5IV-V,0.514,Peg,
43,,0.008593,59.559679,6.18,136.2398,G9III-IV,1.032,Cas,
50,,0.009533,-53.097713,6.49,59.4177,G1IV,0.616,Phe,
63,,0.012119,45.253334,6.36,187.9699,B9p SiEu,-0.047,And,
88,,0.017941,-48.809876,5.71,181.8182,G8III,0.911,Phe,Tau
106,,0.022013,49.981558,6.22,199.6008,G7II-III,0.97,Cas,
107,,0.022255,-50.337373,5.53,166.3894,M2III,1.615,Phe,
122,,0.026616,-77.065724,4.78,66.5779,K2III,1.254,Oct,The
124,,0.026949,61.222801,5.58,943.3962,F0III,0.407,Cas,
128,,0.027597,73.611846,6.5,70.7714,Am...,0.182,Cep,
137,,0.028847,42.367144,6.25,374.5318,B9IIIp Mn,-0.042,And,
145,,0.030402,-3.027504,5.13,139.2758,B7III-IV,-0.128,Psc,
154,,0.032672,-6.014072,4.37,132.4503,M3III,1.631,Psc,
171,,0.036139,27.082256,5.8,12.1699,G3V,0.69,Peg,
183,,0.038867,-29.720414,5.04,154.0832,B4V,-0.15,Scl,Zet
186,,0.040046,8.956824,6.33,122.8501,A6V,0.182,Psc,
194,,0.041584,8.485463,5.7,36.9004,F0V,0.315,Psc,
207,,0.043357,66.098966,5.87,100000.0,G8III,1.073,Cas,
238,,0.049301,-20.045882,6.25,61.1621,F6/F7V,0.526,Cet,
253,,0.052181,-24.145145,6.46,203.666,K1III,1.176,Cet,
274,,0.057143,63.64052,6.24,763.3588,B3Ia,0.332,Cas,
301,,0.06233,-17.335988,4.55,83.4725,B9IVn,-0.047,Cet,
302,,0.064342,66.712183,6.31,265.9574,M4,1.629,Cep,
330,,0.070462,62.287664,5.9,100000.0,A1III,0.274,Cas,
343,,0.072165,-16.529036,5.78,90.6618,K0III,1.084,Cet,
345,,0.07231,-29.268822,6.38,124.8439,A1V,0.006,Scl,
355,,0.075033,-10.509523,4.99,641.0256,K3Ibvar,1.619,Cet,
365,,0.07683,42.09253,6.11,386.1004,B9III,0.159,And,
377,,0.078131,-71.436891,5.59,175.4386,B8III,-0.1,Tuc,
379,,0.078304,67.166445,5.68,92.6784,K1III,1.051,Cep,
394,,0.081573,34.659797,6.09,39.185,G2V,0.632,And,
399,,0.08222,26.648764,6.25,200.0,K4IIIb,1.368,Peg,
410,,0.083662,27.674784,6.47,168.0672,G8II,0.946,Peg,
417,,0.084395,-0.503035,6.32,138.8889,G9III:,1.099,Psc,
418,,0.085039,61.31397,5.8,221.7295,B8MNp...,-0.067,Cas,
443,,0.088928,-5.707618,4.61,39.4945,K1III,1.029,Psc,
476,,0.094989,13.396266,5.55,114.2857,G5III,0.901,Peg,
518,,0.104356,58.436733,5.98,21.4777,G5V,0.687,Cas,
522,,0.105277,-49.075191,5.7,25.7136,G1IV...,0.519,Phe,
531,,0.10737,64.196168,5.57,265.9574,B9III,-0.023,Cas,
544,,0.110209,29.021502,6.07,13.6705,K0V,0.752,And,
560,,0.113911,-23.10754,6.19,39.3856,F2IV,0.386,Cet,
602,,0.121741,-17.38699,6.2,176.0563,A2IV/V,0.133,Cet,
635,,0.12892,-2.548679,6.43,183.4862,B8IIIsp...,-0.146,Psc,
636,,0.129693,-22.50856,5.93,78.3699,A1V,0.141,Cet,
655,,0.134303,-33.529326,5.67,94.9668,K1III,1.119,Scl,
664,,0.136693,-2.447711,6.18,279.3296,K2III,1.366,Psc,
671,,0.138204,-8.824112,5.99,98.4252,G8III:,1.034,Cet,
677,Alpheratz,0.139791,29.090432,2.07,29.7442,B9p,-0.038,And,Alp
695,,0.142462,63.20404,6.41,369.0037,G3II,0.998,Cas,
696,,0.142638,-17.578155,6.11,578.0347,M0/M1IIICNp,1.664,Cet,
699,,0.14471,36.627125,6.21,32.4465,F8IV,0.504,And,
716,,0.147814,25.462985,6.24,138.5042,K0III,0.976,Peg,
728,,0.150045,28.247543,6.47,110.8647,A4Vm,0.242,Peg,
729,,0.150672,18.211963,5.57,87.4126,G9III,1.043,Peg,
730,,0.15066,-54.001931,6.32,128.3697,G4IV...,0.738,Phe,
746,Caph,0.152887,59.14978,2.28,16.7842,F2III-IV,0.38,Cas,Bet
760,,0.155525,79.714545,6.01,105.4852,A7IV,0.203,Cep,
761,,0.155851,-27.987928,5.42,77.4593,F3V,0.414,Scl,Kap-1
765,,0.156836,-45.747426,3.88,44.2087,K0III,1.013,Phe,Eps
798,,0.164474,-62.296794,6.34,132.2751,A6V,0.164,Tuc,
813,,0.167278,11.145813,5.54,93.633,B9V,-0.064,Psc,
814,,0.167293,-82.224047,5.29,78.064,K1/K2III,1.049,Oct,Gam-3
840,,0.171908,-5.248588,5.84,58.309,K1III,0.973,Psc,
841,,0.172012,46.072272,5.01,377.3585,F2II,0.405,And,
873,,0.178565,-12.579897,5.84,75.0188,K0III,1.0,Cet,
910,,0.187739,-15.467977,4.89,18.7477,F5V,0.487,Cet,
930,,0.192894,-27.799737,5.41,243.309,K2III,1.346,Scl,Kap-2
950,,0.195552,-35.133119,5.24,21.2766,F3/F5V,0.459,Scl,The
967,,0.199741,48.152396,6.18,202.0202,K4III,1.467,And,
983,,0.202773,-17.938278,5.29,190.8397,K4III,1.478,Cet,
1009,,0.209484,44.707195,6.5,140.8451,K0,1.112,And,
1067,Algenib,0.220598,15.183596,2.83,120.048,B2IV,-0.19,Peg,Gam
1074,,0.222099,-84.993978,5.78,298.5075,M0/M1III,1.71,Oct,
1076,,0.223312,26.987545,6.24,131.406,G0III,0.68,And,
1086,,0.22524,41.03537,5.71,34.904,F0IV,0.331,And,
1096,,0.228401,-26.022345,5.94,396.8254,K5III,1.548,Scl,
1099,,0.228994,-26.284959,6.14,265.252,K4III,1.49,Scl,
1123,,0.233967,33.206039,6.22,103.1992,A1V,0.009,And,
1158,,0.241008,-7.780532,5.13,178.5714,M3IIIvar,1.601,Cet,
1168,,0.243378,20.206702,4.79,112.8668,M2III,1.572,Peg,Chi
1170,,0.244005,-18.932866,4.44,137.1742,M1III,1.64,Cet,
1191,,0.248476,-9.569571,5.77,103.8422,B9V,-0.084,Cet,
1193,,0.24886,22.284225,6.25,140.8451,A1p,-0.004,Peg,
1195,,0.249515,-34.904223,6.17,194.5525,K3III,1.344,Scl,
1196,,0.249677,8.820962,6.02,77.7605,F0IV,0.312,Psc,
1208,,0.25193,31.535725,6.34,286.533,K5,1.555,And,
1215,,0.252934,27.28344,6.35,135.1351,A1Vn,-0.002,And,
1269,,0.265239,61.000172,6.43,132.9787,G8III...,0.838,Cas,
1268,,0.265257,-75.911615,6.49,189.3939,G8/K0III,0.983,Hyi,
1288,,0.269126,-31.446394,5.66,152.207,K2III,1.35,Scl,
1296,,0.270527,76.950755,6.35,192.3077,B9Vn,-0.044,Cep,
1302,,0.272645,43.595049,6.12,106.4963,A2V,0.068,And,
1319,,0.276122,8.240154,6.12,125.0,G8II-III,0.919,Psc,
1331,,0.278429,-20.210061,6.5,182.8154,B6III/IV,-0.108,Cet,
1354,,0.282513,61.533185,5.74,190.1141,G8III,0.898,Cas,
1366,,0.284863,38.681636,4.61,94.697,A2V,0.059,And,The
1372,,0.285845,47.947405,5.86,343.6426,B7III,-0.079,Cas,
1402,,0.292417,-19.051092,6.46,48.4966,F3V,0.386,Cet,
1415,,0.295295,51.43309,6.11,735.2941,O9IIInn,-0.151,Cas,
1421,,0.296583,1.688727,6.19,117.3709,K0II,0.937,Psc,
1465,,0.304791,11.206214,6.07,153.8462,K0III,1.036,Psc,
1473,,0.305463,36.785224,4.51,41.3223,A2V,0.054,And,Sig
1493,,0.310625,31.517227,5.88,166.6667,A0IV,-0.014,And,
1499,,0.311629,-8.053001,6.47,23.245,G0V,0.674,Cet,
1501,,0.311712,43.791141,6.1,202.8398,B8V,-0.074,And,
1502,,0.31182,-43.235571,6.33,112.4859,K2III,1.21,Phe,
1562,,0.323799,-8.823921,3.56,84.1751,K2III,1.214,Cet,Iot
1575,,0.328212,40.729461,6.35,175.1313,K1III,1.179,And,
1599,,0.334142,-64.874791,4.23,8.5866,F9V,0.576,Tuc,Zet
1630,,0.340111,30.935614,5.89,159.7444,B7V,-0.098,And,
1639,,0.341924,48.968633,6.46,218.3406,G0,0.564,Cas,
1645,,0.343295,8.190271,5.38,125.0,K3III,1.343,Psc,
1647,,0.344178,-69.624913,5.5,97.561,B9V,-0.046,Tuc,Pi
1657,,0.345978,32.911186,5.79,191.9386,K5III,1.595,And,
1686,,0.352017,37.968603,5.16,48.5437,F5III,0.442,And,Rho
1706,,0.357986,-77.426873,5.96,174.8252,K3III,1.397,Hyi,
1708,,0.358665,-28.981469,5.18,101.3171,K0III,1.006,Scl,Iot
1728,,0.362853,-20.058024,5.61,270.2703,M5/M6Ib/II,1.58,Cet,
1772,,0.373745,13.482488,6.25,153.8462,K3III,1.225,Psc,
1803,,0.381051,-12.209438,6.39,20.8638,G3V,0.659,Cet,
1821,,0.384554,-15.942556,6.43,337.8378,M0III,1.595,Cet,
1921,,0.404348,52.019914,5.58,306.7485,B5IV,-0.11,Cas,
1939,,0.408236,-2.219064,6.08,151.7451,K1III,1.216,Psc,
1948,,0.410599,14.315514,6.48,180.5054,K0,1.161,Psc,
1960,,0.413193,61.831057,5.38,215.0538,B9III,0.008,Cas,
1982,,0.418445,53.046786,5.72,158.2278,B9IV,-0.056,Cas,
2006,,0.423391,1.939692,5.77,144.0922,G5III,0.855,Psc,
2021,,0.427916,-77.254247,2.82,7.4588,G2IV,0.618,Hyi,Bet
2072,,0.436716,-43.679829,3.93,23.8095,A7V,0.175,Phe,Kap
2081,Ankaa,0.438056,-42.305981,2.4,25.974,K0III...,1.083,Phe,Alp
2086,,0.439375,-18.693632,6.24,483.0918,M1III,1.622,Cet,
2100,,0.443726,-0.049533,6.16,138.3126,G8III,0.893,Cet,
2159,,0.454085,-25.54717,5.99,176.0563,K0III,1.022,Scl,
2178,,0.45863,16.025483,6.44,117.2333,A5,0.23,Psc,
2210,,0.465472,-33.007167,4.86,138.5042,M2/M3III,1.634,Scl,Eta
2213,,0.466241,19.514039,6.4,172.117,K0,0.99,Psc,
2219,,0.467475,17.893125,5.01,162.0746,M3IIIvar,1.584,Psc,
2224,,0.470195,16.445065,6.05,233.6449,K5III,1.58,Psc,
2225,,0.470454,44.394452,5.18,86.6551,A2Vs,0.043,And,
2235,,0.472236,10.189848,6.05,36.5497,F6Vawvar,0.447,Psc,
2237,,0.472528,-20.335051,6.44,32.1958,G3V,0.594,Cet,
2240,,0.474027,-39.915002,5.42,115.2074,M0III,1.556,Phe,
2256,,0.478632,-50.532859,6.26,125.3133,K0III,1.09,Phe,
